"Method","Path","Status","FolderStatus","CoveredBy","OperationId","Tags","SuggestedFolder","ActualFolders","FolderMismatch","Covered","Skipped","Deprecated","SkipReason","Description","Parameters"
"POST","/libraries","Covered","OK","New-IMLibrary","createLibrary","Libraries","Library","Library","False","True","False","False",,"This endpoint is an admin-only route, and requires the `library.create` permission.",""
"DELETE","/libraries/{id}","Covered","OK","Remove-IMLibrary","deleteLibrary","Libraries","Library","Library","False","True","False","False",,"This endpoint is an admin-only route, and requires the `library.delete` permission.",""
"GET","/libraries/{id}","Covered","OK","Get-IMLibrary","getLibrary","Libraries","Library","Library","False","True","False","False",,"This endpoint is an admin-only route, and requires the `library.read` permission.",""
"PUT","/libraries/{id}","Covered","OK","Set-IMLibrary","updateLibrary","Libraries","Library","Library","False","True","False","False",,"This endpoint is an admin-only route, and requires the `library.update` permission.",""
"POST","/libraries/{id}/scan","Covered","OK","Sync-IMLibrary","scanLibrary","Libraries","Library","Library","False","True","False","False",,"This endpoint is an admin-only route, and requires the `library.update` permission.",""
"GET","/libraries/{id}/statistics","Covered","OK","Get-IMLibrary","getLibraryStatistics","Libraries","Library","Library","False","True","False","False",,"This endpoint is an admin-only route, and requires the `library.statistics` permission.",""
"POST","/libraries/{id}/validate","Covered","OK","Test-IMLibrary","validate","Libraries","Library","Library","False","True","False","False",,,""
"GET","/map/markers","Covered","OK","Get-IMMapMarker","getMapMarkers","Map","Map","Map","False","True","False","False",,,""
"GET","/map/reverse-geocode","Covered","OK","Convert-IMCoordinatesToLocation","reverseGeocode","Map","Map","Map","False","True","False","False",,,""
"GET","/memories","Covered","OK","Get-IMMemory","searchMemories","Memories","Memories","Memories","False","True","False","False",,"This endpoint requires the `memory.read` permission.",""
"POST","/memories","Covered","OK","New-IMMemory","createMemory","Memories","Memories","Memories","False","True","False","False",,"This endpoint requires the `memory.create` permission.",""
"GET","/memories/statistics","Missing","N/A","","memoriesStatistics","Memories","Memories","","False","False","False","False",,"This endpoint requires the `memory.statistics` permission.",""
"DELETE","/memories/{id}","Covered","Wrong Folder (Asset, Memories | Memories)","Remove-IMMemory, Set-IMAsset","deleteMemory","Memories","Memories","Asset, Memories","True","True","False","False",,"This endpoint requires the `memory.delete` permission.",""
"GET","/memories/{id}","Covered","OK","Get-IMMemory","getMemory","Memories","Memories","Memories","False","True","False","False",,"This endpoint requires the `memory.read` permission.",""
"PUT","/memories/{id}","Covered","Wrong Folder (Asset, Memories | Memories)","Set-IMAsset, Set-IMMemory","updateMemory","Memories","Memories","Asset, Memories","True","True","False","False",,"This endpoint requires the `memory.update` permission.",""
"DELETE","/memories/{id}/assets","Covered","Wrong Folder (Asset | Memories)","Set-IMAsset","removeMemoryAssets","Memories","Memories","Asset","True","True","False","False",,"This endpoint requires the `memoryAsset.delete` permission.",""
"PUT","/memories/{id}/assets","Covered","Wrong Folder (Asset | Memories)","Set-IMAsset","addMemoryAssets","Memories","Memories","Asset","True","True","False","False",,"This endpoint requires the `memoryAsset.create` permission.",""
